元の単語,置き換え後の単語,タグ,属性
cows,CALS,# healingALS,Set
Cows,CALS,# healingALS,Set
pals,PALS,# healingALS,Set
Pals,PALS,# healingALS,Set
a LS,ALS,# the other site subtitle,Single
Als,ALS,# healingALS,Single
als,ALS,# healingALS,Single
